quote,author,tags,likes
to have great pain is to have certainty; to hear that another person has pain is to have doubt.,"Elaine Scarry,","body, empathy, pain, philosophy, psychology, war",59
"Wouldn’t the joys of life lose all colour, if life was eternal?","Constantina Maud,","death, epic-fantasy, existentialism, high-fantasy, immortality, life, literary-fiction, mortality, philosophy",50
"and before i could argue him
out of his philosophy
he went and immolated himself
on a patent cigar lighter
i do not agree with him
myself i would rather have
half the happiness and twice
the longevity

but at the same time i wish
there was something i wanted
as badly as he wanted to fry himself

From the lesson of the moth","Don Marquis,",philosophy,41
"True siblings are bound together by far more essential things than blood, while more times than many blood isn't thicker than water.","Constantina Maud,","brethren, brothers, epic-fantasy, high-fantasy, literary-fantasy, literary-fiction, philosophy, siblings, sisters",30
The greatest mystery the universe offers is not life but Size.,"Stephen King,",philosophy,28
"Once your soul is awakened, you never return to the sleepwalking state of mind. Some people become complacent in life. They are just going through the motions and not aware of truth. Seek the knowledge, wisdom, and the understandings that vivify your existence.","Amaka Imani Nkosazana,","awaken, awakened, awakenings, aware, clarification, compassion, complacent, complete, emotions, encouragement, encouraging-words, excitement, existence, feelings, forgiveness, future, god, grace, happiness, honesty, hope, hopeful, inspiration, inspirational-quotes, inspirational-words, inspire, inspiring-word, joy, knowledge, life, love, loving, motions, motivation, philosophy, quotes-to-live-by, sleepwalking, soul, sunshine, trust, truth, understand, understandings, whole, wisdom, words-of-encouragement, words-of-god, words-that-inspire, words-to-live-by",27
"A farm includes the passion of the farmer's heart, the interest of the farm's customers, the biological activity in the soil, the pleasantness of the air about the farm -- it's everything touching, emanating from, and supplying that piece of landscape. A farm is virtually a living organism. The tragedy of our time is that cultural philosophies and market realities are squeezing life's vitality out of most farms. And that is why the average farmer is now 60 years old. Serfdom just doesn't attract the best and brightest.","Joel Salatin,","farming, philosophy",26
"Let's not worry. It's too late now. It will always be too late, fortunately!","Albert Camus,","existentialism, french-literature, good-fortune, philosophy, regret, spared",24
"On a grander scale, when a society segregates itself, the consequences affect the economy, the emotions, and the ecology. That's one reason why it's easy for pro-lifers to eat factory-raised animals that disrespect everything sacred about creation. And that is why it's easy for rabid environmentalists to hate chainsaws even though they snuggle into a mattress supported by a black walnut bedstead.","Joel Salatin,","ecology, economy, philosophy",21
"Opinions alter, manners change, creeds rise and fall, but the moral law is written on the tablets of eternity.",John Emerich Edward Dalberg Acton Acton,"moral-law, philosophy",20
"Music shouldn't be just a tune, it should be a touch.","Amit Kalantri,","adage, advertisement, album, alliterations, amit-kalantri, amit-kalantri-quotes, amit-kalantri-writer, artist, background-music, background-score, band, book-writing, catch-lines, catchphrases, characters, concert, creative-writing, drums, essay, guitar, inspirational, instruments, knowledge, melody, michael-jackson, motivational, movie, movie-dialogue, movies, music, music-director, music-industry, music-quotes, musicians, novel-writing, philosophy, playing, pop, proverbs, public-speaking, quotes, rhetoric, rock, script, script-writing, scriptwriting, singer, singing, song, soul, sound, speech, speechwriting, story, tag-lines, touch, tune, vocal, wisdom, writing",20
"Nu pot fi eu insumi decat daca ma inalt pana la furie sau cobor pana la descurajare: la nivelul meu obisnuit, ignor faptul ca exist.",Emil Cioran,philosophy,19
