quote,author,tags,likes
"Never shall I forget that night, the first night in camp, that turned my life into one long night seven times sealed.
Never shall I forget that smoke.
Never shall I forget the small faces of the children whose bodies I saw transformed into smoke under a silent sky.
Never shall I forget those flames that consumed my faith forever.
Never shall I forget the nocturnal silence that deprived me for all eternity of the desire to live.
Never shall I forget those moments that murdered my God and my soul and turned my dreams to ashes.
Never shall I forget those things, even were I condemned to live as long as God Himself.
Never.","Elie Wiesel,","20th-century, faith, holocaust",175
"If you allow it, [suffering] can be the means by which God brings you His greatest blessings.",Swindoll Charles R.,"christianity, faith, suffering, trials",42
"Deep, contended joy comes from a place of complete security and confidence [in God] - even in the midst of trial.",Swindoll Charles R.,"christianity, contentment, faith, joy, trials, trust",39
"The size of a challenge should never be measured by what we have to offer. It will never be enough. Furthermore, provision is God's responsibility, not ours. We are merely called to commit what we have - even if it's no more than a sack lunch.",Charles R. Swindoll,"challenge, christianity, faith, god, provision",28
"People often speak of hell, not wanting to go there, avoiding it..etc. I never had that problem because hell is a state of mind. Look around you; rape, murder, wars, hatred, envy...my friend; you're already there!!",Sandra Chami Kassis,"christianity, cruelty, faith, heaven, hell, injustice, inspirational, life, murder, peace, rape, wars, wisdom",25
God never calls His people to accomplish anything without promising to supply their every need.,Charles R. Swindoll,"faith, god, providence, trust",20
Jesus kept it simple. The lesson wasn't complicated. 'I speak; you believe My word; your son will be fine.' We complicate what God has made simple by seeing the world through human eyes. We want to see in order to believe and presume that our limitations are His.,Charles R. Swindoll,"belief, believe, faith, god, jesus-christ, prayer, providence, trust",15
"Nature is bent on new beginning
and death has not a chance of winning...","Rosy Cole,","faith, great-quotes, nature, poetry, rebirth, rejuvenation, spirituality",15
"Nobody think about that broken heart... life goes on, broken heart never join together but it tries very hard to get joined again. That;swhy may be it said ""Heart is like a mirror, if its broken can never be joined.",Shahid Islam,"broken-heart, faith, heart, humor, love, mind",15
It's not enough merely to believe there is a God. You must believe in the God who is there.,Swindoll Charles R.,"beleive, faith, god",8
"Sin may have the power to kill and destroy, but God is the Creator of life. He can create it from nothing, and He can restore it from death.(John 11:25-26)",Charles R. Swindoll,"creator, death, faith, god, life, sin",8
"Boldness in the course of a noble fight is worth the risk...If you stand on truth, you'll only regret your timidity later, but you'll never regret being bold.",Swindoll Charles R.,"faith, fear, god, standing-firm",8
"By telling you anything at all I'm at least believing in you, I believe you're there, I believe you into being. Because I'm telling you this story I will your existence. I tell, therefore you are.","Margaret Atwood,","belief, believe, faith, power",8
Faith is a question of eyesight; even the blind can see that.,"Dejan Stojanovic,","blind, books, dejan-stojanovic, eyesight, faith, literature, literature-quotes, philosophy, poetry, poetry-quotes, poets, quotes, seeing, the-sun-watches-the-sun, wisdom",7
I don't think there's anything wrong with borrowing someone else's faith to get you through until you get enough on your own.,"Stefne Miller,","borrowing, christian, faith, god",7
"Deepen your faith in yourself.
Nothing will be able
To frighten or weaken you.","Sri Chinmoy,",faith,6
"It's still easier to find the correct Hoover bag than to find one pure person, one pure faith, on the globe.","Zadie Smith,","faith, pure",6
"I am the chosen of the Lord, for who He loveth, so doeth He chastiseth. But I be durn if He dont take some curious ways to show it, seems like.","William Faulkner,","faith, god, suffering",6
"I lose faith in mathematics, logical and rigid. What with those that even zero doesn’t accept?","Dejan Stojanovic,","accept, acceptance, dejan-stojanovic, faith, literature, literature-quotes, logic, logical, mathematics, poems, poetry, poetry-quotes, quotes, rigidity, thoughts, wisdom, zero",5
"Truth without love, isn't.","Shane Hipps,","faith, inspirational, love, religion, truth",5
"In the wilderness, God's covenant people struggled with a choice between feeding their bellies and nourishing their souls. God provided manna--a breadlike food that fell to the ground during the night--to sustain the wandering Israelites and to teach them how to value His Word more than physical fulfillment.",Swindoll Charles R.,"faith, god, israelites, providence",4
"What we really need is only a heart of surrender & always trust what God has plan for our life. So we do our best, God shall take the rest. That's what I called FAITH.",Olivia Sinaga,"faith, fight-more, god, hope, surrender-to-god, trust",4
No rain can't get the rainbow.,ayumi hamasaki rainbow,"faith, hope, patience, trust",3
"I reckon it does take a powerful trust in the Lord to guard a fellow, though sometimes I think that Cora’s a mite over-cautious, like she was trying to crowd the other folks away and get in closer than anybody else.","William Faulkner,","faith, self-righteousness, trust",3
"Hope is like a word made with cloud, without faith, it quickly blows away.",Anthony Liccione,"cloud, faith, hope",2
"I have wandered freely in mystical traditions that are not religious and have been profoundly influenced by them. It is my church, however, that I keep returning, for she is my spiritual home.",Anthony de Mello S.J.,faith,2
The door wasn’t closing. Shiloh’s spirit opened up as she considered the possibilities.,"Stacy Hawkins Adams,","faith, fiction, identity, personal-growth, women-s-fiction",2
"Плътта, ако крепне, крепне за сметка на духа; и духът, ако съзрява, то е
не по друг начин, а за сметка на упокояването на плътта.","Святитель Феофан Затворник,","faith, philosophy, religious, spirtual",1
"As to the doubt of the soul I discover it to be false: a mood not a conclusion. My conclusion is the Faith. Corporate, organized, a personality, teaching. A thing, not a theory. It.",G.K. Chesterton,"doubt, emotion, faith",1
"The Good News does not hinge on words like do or change but on the powerless, irrelevant, and frightening words like belief and faith.","Mark Galli,","faith, gospel, works",1
"The Reformation was a time when men went blind, staggering drunk because they had discovered, in the dusty basement of late medievalism, a whole cellar full of fifteen-hundred-year-old, two-hundred proof Grace–bottle after bottle of pure distilate of Scripture, one sip of which would convince anyone that God saves us single-handedly. The word of the Gospel–after all those centuries of trying to lift yourself into heaven by worrying about the perfection of your bootstraps–suddenly turned out to be a flat announcement that the saved were home before they started…Grace has to be drunk straight: no water, no ice, and certainly no ginger ale; neither goodness, nor badness, not the flowers that bloom in the spring of super spirituality could be allowed to enter into the case.","Robert Farrar Capon,","faith, grace, religion",90
"Every faculty you have, your power of thinking or of moving your limbs from moment to moment, is given you by God. If you devoted every moment of your whole life exclusively to His service you could not give Him anything that was not in a sense his own already ... It is like a small child going to its father and saying, 'Daddy, give me sixpence to buy you a birthday present.' It is all very nice and proper, but only an idiot would think that the father is sixpence to the good on the transaction.","C.S. Lewis,",faith,24
"Before God and high heaven, is there a law for one man which is not a law for every other man?","Howard Zinn,","civil-rights, equality, faith, government, history",20
"Of all the religions in the world, perhaps the religion of liberty is the only faith capable of purity.",Tiffany Madison,"faith, freedom, freedom-of-expression, freedom-of-religion, freedom-of-thought, liberty, purity, religion",17
"They tried to believe in their classmates. They must have believed that if we could all get together, then we might end up being saved. We should commend them for that. We couldn't do that.","Koushun Takami,","bravery, faith",16
"Why do many believers insist on repeatedly pointing to the crimes of 20th century dictators who led officially atheistic societies as some sort of evidence of their god's existence? It makes no sense.

If the rivers of blood on Stalin's hands and Mao's hands, for example, are supposed to prove there is a god, then what do the oceans of blood on the hands of several thousand years' worth of religious kings, queens, presidents, popes, priests, generals, Crusadersm jihadists and tribal chiefs prove? It's not, of course, but if bodycount is somehow the measure of a god's likelihood of existence, then believers lose.

It is clear that humans are quite capable of killing with or without images of gods bouncing around in their heads. If anything, however, history suggests that the concept of gods makes the idea of massacring your fellow man (and women and children, too, of course) a lot easier to act upon.",Guy P. Harrison,"atheism, faith, history, religion",16
"My friend Bob, who is both a student of Yoga and a neuroscientist, told me that he was always agitated by this idea of the chakras, that he wanted to actually see them in a dissected human body in order to believe they existed. But after a particularly transcendent meditative experience, he came away with a new understanding of it. He said,'Just as there exists in writing a literal truth and a poetic truth, there also exists in a human being a literal anatomy and a poetic anatomy. One, you can see; one, you cannot. One is made of bones and teeth and flesh; the other is made of energy and memory and faith. But they are both equally true","Elizabeth Gilbert,","faith, inspirational",12
