quote,author,tags,likes
Hope is a straw hat hanging beside a window covered with frost.,"Margaret George,",hope,9
"There is child in all of us that refuses to grow up, a child that is in awe of what can be, the polar opposite of the cynic in all of us who despairs over what is. Stories of magic, fantastic monsters, impossible courage and spectacular heroism appeal to this child, instilling it with hope and faith in humanity and in the cosmic order.",Shatrujeet Nath,"fantasy, heroism, hope, inner-child, magic, myth, wonder",9
"People die from lack of shared empathy and affinity. By establishing social connectedness, we give hope a chance and the other can become heaven. ( ""Le ciel c'est l'autre"" )",Erik Pevernagie,"affinity, connectedness, die, empathy, heaven, hope, others, social",135
"সময় শোকের চেয়ে বলশালী। শোক তীরভূমি, সময় জাহ্নবী। সময় শোকের ওপর পলি ফেলে আর পলি ফেলে। তারপর একদিন প্রকৃতির অমোঘনিয়ম অনুযায়ী, সময়ের পলিতে চাপা পড়া শোকের ওপর ছোট ছোট অঙ্কুরের আঙুল বেরোয়।
অঙ্কুর। আশার-দুঃখের-চিন্তার-বিদ্বেষের।
আঙুলগুলো ওপরে ওঠে, আকাশ খামচায়।
সময় সব পারে।","Mahasweta Devi,","hope, mourning, sorrow, time",24
"I had turned away from the picture and was going back to the world where events move, men change, light flickers, life flows in a clear stream, no matter whether over mud or over stones.","Joseph Conrad,","farewell, final-departure, getting-over-it, hope, last-goodbye, last-sight, leaving, life-goes-on, lost-friends, moving-on, moving-on-and-letting-go, picture-metaphor, remembering",17
If you're jealous of someone else it simply means you have not come to a true acceptance and appreciation of yourself.,Rasheed Ogunlaru,"acceptance-of-oneself, acceptance-of-others, desire, desire-quotes, ego, ego-quotes, hope, hurt, inspirational-quotes, jealous, jealousy, jealousy-quotes, motivation, motivational-quotes, pain, rasheed-ogunlaru, rasheed-ogunlaru-quotes, relationship-quotes, self-awareness, self-love, self-love-quotes, wish, wishes-quotes",17
"Embrace every new day with gratitude, hope and love.",Lailah Gifty Akita,"daily-life, gratitude, hope, motivation, never-give-up, new-day",16
"You only feel powerless because your fear has given your power to the object of your fear. Once you realise this, you can claim it back.",Kamand Kojouri,"afraid, aware, awareness, claim, conscious, consciousness, defenceless, defenseless, fear, fear-quotes, fearful, hope, hopeless, kamand, kamand-kojouri, kojouri, object, power, power-quotes, powerful, powerless, realise, realize, recognise, recognize, scared, scary, strong, understand, weak",10
Do you have any idea how frightening it is to care for someone who dreams? They infect you with their optimism. And soon you start to dream together. You begin to dare to hope.,"Lee Winter,",hope,9
"I would fight every angel between us until God said, ""Yes.",Shannon L. Alder,"desperation, dreaming, god, god-s-plan, hope, hope-for-future, in-love, longing, loving-you, notebook, praying, romance",7
"I'm not singing for the future
I'm not dreaming of the past
I'm not talking of the fist time
I never think about the last",Shane MacGowan,"british, hope, inspirational, irish, punk, real-life, skinhead, the-pogues, yes",7
Endure to the very end.,"Lailah Gifty Akita,","adversity, christian-life, determination, dreams, endurance, faith, fighting-spirit, hope, inner-strength, inspiring, life, overcomer, positive, you-can",5
"With God, brokenness is nothing more than the stage upon which the impossible is about to happen.",Craig D. Lounsbrough,"belief, broken, christian, faith, god, hope, impossible, jesus, pain, stage",5
"Southern California, which is shaped somewhat like a coffin, is a giant sanatorium with flowers where people come to be cured of life itself in whatever way .... This is the last stop before the sun gives up and sinks into the black, black ocean, and night - usually starless here - comes down.",John Rechy,"california, cities, hope",4
"I didn't know that I've completely left them all in the past. There's a part of me, wishing and hoping, that she would come back for me, and we would start a new life together, but she didn't.","Diyar Harraz,","broken-heart, ghosts-of-the-past, hope, past, torn, wishful-thinking",4
"If one million of you give assent to the one thousand who participate in the murder of a child, then one million of you are a million times guilty.",Compton Gage,"books, death, education, faith, fear, funny, god, happiness, hope, humor, inspiration, inspirational, inspirational-quotes, knowledge, life, life-lessons, love, motivational, philosophy, poetry, relationships, religion, romance, science, spirituality, success, truth, wisdom, writing",4
Confident Assured Posture: Foundation of Powerful Style,"Cindy Ann Peterson,","branding, charisma, confidence, goals, hope, motivational, positivity, respect, style, wisdom",4
"Life is about celebrating uniqueness, diversity, and then bringing it all together like the varied colors of a rainbow. Different yet connected.",hlbalcomb,"cinderella, cinderellainfocus, connection, diversity, hope, individuality-quotes, uniqueness-of-individual",4
"La esperanza es como la sal, no alimenta pero da sabor al pan.","José Saramago,","esperanza, esperança, hope, vida",3
No crime is a means to an end. No crime can be rationalized.,Compton Gage,"books, death, education, faith, fear, funny, god, happiness, hope, humor, inspiration, inspirational, inspirational-quotes, knowledge, life, life-lessons, love, motivational, philosophy, poetry, relationships, religion, romance, science, spirituality, success, truth, wisdom, writing",3
"If one thousand of you participate in the murder of one child, then one thousand of you are a thousand times guilty.",Compton Gage,"books, death, education, faith, fear, funny, god, happiness, hope, humor, inspiration, inspirational, inspirational-quotes, knowledge, life, life-lessons, love, motivational, philosophy, poetry, relationships, religion, romance, science, spirituality, success, truth, wisdom, writing",2
"One spiritual writer has observed that human beings are born with two diseases: life, from which we die; and hope, which says the first disease is not terminal. Hope is built into the structure of our personalities, into the depths of our unconscious; it plagues us to the very moment of our death. The critical question is whether hope is self-deception, the ultimate cruelty of a cruel and tricky universe, or whether it is just possibly the imprint of reality.","Brennan Manning,","afterlife, catholic, catholicism, christian, christianity, death, hope, immortality, life, reality, salvation",2
"When, at the end of their lives, most men look back they will find that they have lived throughout ad interim. They will be surprised to see that the very thing they allowed to slip unnapreciated and unenjoyed by was their life. And so a man, having been duped by hope, dances into the arms of death.",Arthur Schopenhauer,"death, expectations, hope",2
"We cherish all the past, we glide a-down the present, awake yet dreaming; but the future of ours together—there the bird sings loudest, and the sun shines always there...","Emily Dickinson,","dreams, future, hope, past",2
"Lui diceva: «Il futuro sarà migliore, in futuro saremo liberi». E io allora non capivo, gli dicevo: «Nonno che vuol dire liberi, che cos’è la libertà?» E lui abbassava la testa e diventava triste e poi diceva: «È una cosa dei grandi, la libertà».","Francesca Mannocchi,","freedom, future, hope",2
"Through Christ, the sting of death is but a gentle pinch to the soul; and the mourn is light. Perhaps, someday, in that glorious place, free of sin, we shall meet again.","Criss Jami,","christ, death, heaven, hope, sin",1
"For once,
engulf,
not air,
but hope.
For once,
breathe on,
a firm belief!",Jasleen Kaur Gumber,"attitude, believe, breathe, faith, fear, hope, humans, life, philosophy, poetry, power, quotes, short-poems, strength, wisdom",1
"When you're completely lost, when you have no idea what comes next or why things are happening, faith is what gets you through. Even if you're not sure what you believe, you keep doing the things you know in your heart are the right things. That is faith, Carter. It's not the absence of questions. It's continuing, day in and day out, in spite of those questions.","Vannetta Chapman,","friendship, hope, solar-flare",1
"Do you prefer Mitch? Or is Mitchell better?'..
.. Mitch, I say. Mitch is what my friends called me.
'Well, Mitch it is then,' Morrie says, as if closing a deal.
'And, Mitch?'
Yes?
'I hope one day you will think of me as your friend.","Mitch Albom,","friends, hope, introduction, name, nickname, professor, student",1
"Alle disse skæbner. Vi er så forgængelige, vi mennesker. Når vi er børn, skuer vi ind i evigheden; når vi ældes, ser vi tilbage og ved at det kun var et fingerknips, et glimt i tiden, at vore dage var som regndråber der falder i havet.","Mich Vraa,","colonialism, denmark, faith, history, hope, slavery",1
"Hope?! Hope is a bit desperate, isn't it? Hope is right below wishful thinking and right above performing a rain dance.",Rich Hall,"hope, humour",1
"That night she listened to the Nirvana album again. In Kurt Cobain's voice, Irene heard a perfect and beautiful misery, a voice stretched so thin with loneliness and wanting that it should break. But his voice didn't break, and there was a kind of joy in it too.","Nicola Yoon,","hope, kurt-cobain, suicide",1
